Title,Address,Price,Type
The Element,"2603 Dove St #313, San Diego, CA 92103",3300,Not indicated
The Pacific at Mission Bay,"2636 Grand Ave, San Diego, CA",2635,1 bd
Westwood Apartment Homes,"7936 Avenida Navidad, San Diego, CA",2685,1 bd
Allina La Jolla,"3417 Lebon Dr, San Diego, CA",2363,1 bd
The Villas of Renaissance,"5280 Fiore Ter, San Diego, CA",2515,1 bd
Elan Terraza La Jolla,"5165 Luigi Ter, San Diego, CA",2795,1 bd
Vici,"550 W Date St, San Diego, CA",2995,Studio
Aquatera,"5777 Mission Center Rd, San Diego, CA",3085,1 bd
eaves Mission Ridge,"2745 Meadow Lark Dr, San Diego, CA",2347,1 bd
The Margo,"201 Del Sol Dr, San Diego, CA",2614,1 bd
The Warwick,"606 Washington St, San Diego, CA",2100,Studio
Plaza Apartments,"6150 El Cajon Blvd, San Diego, CA",2120,1 bd
Arcadia at StoneCrest Village,"2643 W Canyon Ave, San Diego, CA",2515,1 bd
Secoya-Residential,"3067 5th Ave, San Diego, CA",1996,Studio
Nimitz Crossing,"3909 Voltaire St, San Diego, CA",3295,1 bd
Regents Court,"8465 Regents Rd, San Diego, CA",2695,1 bd
Campus Village Apartments,"5925 El Cajon Blvd, San Diego, CA",2545,2 bds
Urbana East Village Rental Flats,"450 10th Ave, San Diego, CA",2525,Studio
The Artisan,"1601 Broadway, San Diego, CA 92101",2699,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",3999,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",3599,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",4499,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",3290,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",2599,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",2699,Not indicated
The Artisan,"1601 Broadway, San Diego, CA 92101",1949,Not indicated
The Residences at Cota Vera,"1575 Camino Altezza, Chula Vista, CA",2281,Studio
Del Rio Apartment Homes,"2288 Fenton Pkwy, San Diego, CA",2525,1 bd
Stella Vista,"6675 Linda Vista Rd, San Diego, CA",2600,1 bd
Nobel Court,"3707 Nobel Dr, San Diego, CA",2895,1 bd
The Seaton Apartments,"1302 Frankfort St, San Diego, CA",2985,1 bd
Merge 56,"8270 Merge Ave, San Diego, CA",4329,3 bds
The Village Mission Valley,"6555 Ambrosia Dr, San Diego, CA",2515,1 bd
Mission Hills Commons,"4021 Falcon St, San Diego, CA",3495,1 bd
Arrive Broadway Lofts,"1007 5th Ave, San Diego, CA",2309,Studio
Seventh & G Apartments,"677 7th Ave, San Diego, CA",2091,Studio
Cinnamon Woods,"1379 27th St, San Diego, CA",1995,1 bd
BLVD North Park,"2020 El Cajon Blvd, San Diego, CA",2915,1 bd
Carmel Terrace,"11540 Windcrest Ln, San Diego, CA",2458,1 bd
Torrey Villas Apartment Homes,"11100 Vista Sorrento Pkwy, San Diego, CA",2745,1 bd
Montierra,"9904 Kika Ct, San Diego, CA",2863,1 bd
Ocean House on Prospect Apartment Homes,"400 Prospect St, La Jolla, CA",4799,1 bd
MoDE,"635 Robinson Ave, San Diego, CA",2600,Studio
Mason,"2451 Mason Dr, San Diego, CA",3646,2 bds
Avaz Pacific Beach,"2710 Grand Ave, San Diego, CA",2195,1 bd
You Are Here Golden Hill,"811 25th St, San Diego, CA",3000,2 bds
5747 Lauretta Street,"5757 Lauretta St, San Diego, CA 92110",2095,Not indicated
Carmel Summit,"11795 Stoney Peak Dr, San Diego, CA",2575,1 bd
Citra Apartments,"4464 Castelar St #314, San Diego, CA 92107",2715,Not indicated
Sleepy Hollow Apartments,"4201 6th Ave, San Diego, CA",1795,Studio
North Park Post Office,"3077 N Park Way APT 206, San Diego, CA 92104",3400,Not indicated
Harborview Apartment Homes,"820 W G St, San Diego, CA",2070,Studio
Elan Beachwalk,"5025 Niagara Ave, San Diego, CA",2695,1 bd
The Rey,"801 A St, San Diego, CA",2126,Studio
Gema,"1471 8th Ave, San Diego, CA",2508,1 bd
Surfcaster Apartments,"5050 Niagara Ave, San Diego, CA",2195,Studio
La Jolla Park East,"5229 Genesee Cv, San Diego, CA 92122",2995,Not indicated
J Street Flats,"222 J St, San Diego, CA",1500,Studio
The Q Lofts,"750 W Fir St, San Diego, CA 92101",3795,Not indicated
The Q Lofts,"750 W Fir St, San Diego, CA",3795,1 bd
Coral Bay,"3309 Cowley Way, San Diego, CA",2132,1 bd
Allure at Scripps Ranch,"10776 Scripps Ranch Blvd, San Diego, CA",2693,1 bd
Sasan Lofts,"901 W Washington St, San Diego, CA 92103",1719,Not indicated
Golden West Apartments,"720 4th Ave #3106/484, San Diego, CA 92101",590,Not indicated
4020 Pepper Dr,"San Diego, CA",1995,2 bds
1404 38th Street - 4-Plex,"1404 38th St APT 1, San Diego, CA 92105",2850,Not indicated
3860 38th St #1,"San Diego, CA 92105",2495,Not indicated
4804 W Mountain View Dr #B,"San Diego, CA 92116",2495,Not indicated
2948 Clay Ave,"San Diego, CA 92113",2350,Not indicated
6330 Caminito Lazaro,"San Diego, CA 92111",4650,Not indicated
3737 Keating St APT 1,"San Diego, CA 92110",2450,Not indicated
4157 Utah Street,"4157 Utah St APT 3, San Diego, CA 92104",2350,Not indicated
1940 3rd Ave UNIT 101,"San Diego, CA 92101",3488,Not indicated
2407 Adirondack Row UNIT 4,"San Diego, CA 92139",2895,Not indicated
4177 Louisiana Street,"4177 Louisiana St #A, San Diego, CA 92104",2800,Not indicated
830-832 1/2 W. Mission Bay Drive,"830 832 1/2 West Mission Bay Dr, San Diego, CA 92109",1995,Not indicated
HUE Gaslamp,"939-945 4th Ave, San Diego, CA",2250,Studio
4911-4917 Auburn Drive,"4911-4917 Auburn Dr #4911, San Diego, CA 92105",1550,Not indicated
4661 Oregon St,"San Diego, CA 92116",2995,Not indicated
10540 Angeton Ct,"San Diego, CA 92126",4695,Not indicated
5170 Clairemont Mesa Blvd,"San Diego, CA",3000,2 bds
